epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,963.544,0.37263,0.36713,0.84777,0.80823,0.83195,0.8385,0.76002,0.55655,0.79739,0.82352,0.000290937,0.000290937,0.000290937
64,978.955,0.39565,0.39708,0.85857,0.72123,0.83532,0.80538,0.74179,0.52078,0.87816,0.81633,0.000275469,0.000275469,0.000275469
65,989.75,0.40124,0.42538,0.87021,0.69105,0.81448,0.78447,0.72621,0.49729,0.98876,0.81307,0.00026,0.00026,0.00026
66,1002.41,0.37916,0.37989,0.86646,0.68785,0.79205,0.79338,0.73543,0.50537,1.07213,0.81155,0.000244531,0.000244531,0.000244531
67,1019.46,0.37265,0.42215,0.87182,0.67876,0.79153,0.78194,0.71689,0.51353,1.01222,0.81243,0.000229063,0.000229063,0.000229063
68,1036.87,0.39094,0.37006,0.86557,0.70992,0.81448,0.76303,0.69587,0.51611,0.87759,0.81267,0.000213594,0.000213594,0.000213594
69,1051.1,0.39967,0.36696,0.85602,0.7001,0.85107,0.75093,0.67194,0.5192,0.86598,0.8115,0.000198125,0.000198125,0.000198125
70,1066.1,0.39184,0.35666,0.8398,0.67757,0.85615,0.75009,0.6738,0.51496,0.95301,0.8121,0.000182656,0.000182656,0.000182656
71,1093.17,0.32668,0.2825,0.81086,0.68313,0.84842,0.78357,0.7173,0.52873,0.90914,0.81644,0.000167188,0.000167188,0.000167188
72,1111.29,0.34658,0.29313,0.80777,0.74986,0.762,0.82322,0.75208,0.5477,0.79275,0.82177,0.000151719,0.000151719,0.000151719
73,1126.99,0.31108,0.29617,0.80554,0.73921,0.8006,0.84723,0.76371,0.56347,0.77892,0.82495,0.00013625,0.00013625,0.00013625
74,1142.17,0.33826,0.27454,0.78378,0.76946,0.78383,0.83096,0.75151,0.55826,0.77796,0.82422,0.000120781,0.000120781,0.000120781
75,1155.23,0.3594,0.28825,0.81943,0.74782,0.78156,0.82149,0.74528,0.54294,0.82445,0.82075,0.000105312,0.000105312,0.000105312
76,1170.81,0.30774,0.23067,0.80543,0.68399,0.85615,0.80591,0.7369,0.5115,0.9439,0.81213,8.98437e-05,8.98437e-05,8.98437e-05
77,1189.11,0.32851,0.30839,0.79953,0.69453,0.85402,0.81525,0.7475,0.49735,0.98592,0.80876,7.4375e-05,7.4375e-05,7.4375e-05
78,1204.22,0.30974,0.23519,0.78007,0.69377,0.85615,0.82353,0.7587,0.49648,0.98015,0.80881,5.89062e-05,5.89062e-05,5.89062e-05
79,1217.71,0.2954,0.21324,0.81201,0.68229,0.85615,0.81642,0.75573,0.49951,0.97711,0.8104,4.34375e-05,4.34375e-05,4.34375e-05
80,1230.89,0.3199,0.23222,0.79885,0.68444,0.85615,0.819,0.74992,0.50533,0.93613,0.8122,2.79687e-05,2.79687e-05,2.79687e-05
